Afrikaans,Category,English_Definition,English_Term,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Siswati,Tshivenda,Xitsonga
Itemresponskoers,                Social conditions / Personal services                    ,The ratio of the number of eligible units responding to an item to the number of responding units eligible to have responded to the item.,Item response rate,Isilinganisopendulo se-ayithemu,izinga lokuphendula,Izinga labaphendulile,Reiti ya dikarabo / Diphetolo,Sekgahla sa karabo,Kelokarabo / Kelotsibogo,Silinganiso sebantfu labaphendvule imibuto kuleso lebesilindzelwe,Phimo ya phindulo dza tshiteṅwa,Mpimo wa mahlamulelo
Insleutel vanaf beeld (IVB),                Social conditions / Personal services                    ,A process of capturing data by looking at the image.,Key from image (KFI),Ukuthatha imininingwana ngokuqala isithombe,inkcazelo ethathwe emfanekisweni,Ulwazi ngokubuka umfanekiso,Go tšeya go tšwa seswantšhong,Senotlolo se setshwantshong (SSS),Tlanya go tswa setshwantshong,Indlela yekutsatsa i-datha ngekubuka sitfombe,U rekhoda data nga mbonalo / Dodombedzwa nga mbonalo,Ku nghenisa mahungu hi ku languta xifaniso
Insleutel vanaf papier (IVP),                Social conditions / Personal services                    ,A process of capturing data by looking at the physical questionnaire.,Key from paper (KFP),Ukuthatha imininingwana ngerhelo lemibuzo,inkcazelo ethathwe ephepheni lwemibuzo,Ulwazi olutholakala ezimpendulweni,Go tšeya go tšwa letlakaleng,Senotlolo se pampiring (SSP),Tlanya go tswa pampiring,Indlela yekutsatsa i-datha ngeluhlololuvo,U rekhoda data nga usedza kha bammbiri ḽa mbudziso,Ku nghenisa mahungu hi ku languta eka phepha
Lystingsfout,                Social conditions / Personal services                    ,An error committed during listing.,Listing error,Umtjhapho wokurhemisa,impazamo eyenziwe kuluhlu,Iphutha ohlwini,Phošo ge go dirwa lenaneo,Phoso lenaneng,Phosotsamaisong ya mananeo,Liphutsa lelenteke nakwentiwa luhla,Vhukhakhi ha u tevhekanya,Xihoxo xo xaxameta
Logiese toerekening,                Social conditions / Personal services                    ,See cold deck.,Logical imputation,Ukulungiswa kwemininingwana / kwedatha ngokukhibelela,Ukuvala izikhewu ngolwazi lwangaphambili,Ukuthathela/ ukususela olwazini oludala,Mokgwatleleletšo ka tshedimošo ya pele,Tlatseletso ka tlhakisetso,Mokgwatlaleletso o o lolameng,Kugcwalisa ngekuhlawumbelisa imininingwane leniketiwe,Vhudzhenisatshiteṅwa thevhekano,Ngheniso wa switiviwa/datara wo fanela
Makrodata,                Social conditions / Personal services                    ,Observation data gained by a purposeful aggregation of statistical micro data.,Macro data,Imininingwana /idatha ehlanganisiweko,Iinkcukacha ngokwendeleyo,Imininingo ebanzi,Dintlhakgoboketšwakgolo,Dintlhadikgolo,Dinewakgolo,Idatha lenkhulu,Zwidodombedzwa-/datanyangaredzwa,Switiviwankulu / datara leyikulu
Meestersteekproef,                Social conditions / Personal services                    ,"A sample drawn from a population for use on a number of future occasions, so as to avoid ad hoc sampling on each occasion.",Master sample,Umdzubhulo zombelele,"isampuli esisiseko, isampuli engaguqukiyo",Isibonisongqangi / Isiboniso okususelwa kuso,Sešuposegolo,Sampole ya sehlooho,Sampolekgolo,Sifanekisonchanti,Tshigwada tshihulwane tshine vhavhudziswa vha do nangwa khatsho,Sambulanyangaredzo / Thopholonyangaredzo / Sampulunkulu
Metadata,                Social conditions / Personal services                    ,"Data about data, that refers to the definitions, descriptions of procedures, system parameters, and operational results which characterise and summarise statistical programs.",Metadata,Imininingwanahlathululo; Idathahlathululo,Uhlalutyo-nkcukacha,Incazelo yemininingo,Tshedimošokakaretšo/methateitha,Tlhakisetso ya dintlha,Tlhalosodinewa/dintlha; tshedimosetso ya dinewa/dintlha,Imethadatha,ṱhalutshedzazwidodombedzwa / data / methadata,Metadatara
Metadatalêerstelsel,                Social conditions / Personal services                    ,An information system for registering metadata.,Metadata registry,Irejistara yemininingwanahlathululo / yedathahlathululo,Uvimba weenkcukacha,Uhlelo lokugcinwa kwencazelo yemininingo,Mokgwangwadišo ya tshedimošokakaretšo/mokgobo wa methateitha,Ngodiso ya tlhakisetso ya dintlha,Bokwadisetso ba tlhalosodinewa/dintlha,Irejista yemethadatha,Vhuṅwalisaṱhalutshedza-/zwidodombedzwa / data / methadata,Vuhlayiselo bya metadatara
Metodologie,                Social conditions / Personal services                    ,A set of research methods and techniques applied to a particular field of study.,Methodology,Indlela yokwenza,Isikhokelo sophando,Indlela esetshenziswayo,Mokgwanyakišišo/lenaneonyakišišo,Mekgwa ya diphuputso,Mokgwapatlisiso,Indlela yekwenta,Ngona / maitele,Maendlelo
Mikrodata,                Social conditions / Personal services                    ,Observation data collected on an individual object or statistical unit.,Micro data,Imininingwana engakahlanganiswa/idatha engakahlanganiswa,Inkcukacha etsolisiweyo,Imininingo eqoqekile,Dintlhakgoboketšwanyane,Dintlhadinyane,Dintlhannye/dinewannye,Indlela yekwenta,Zwidodombedzwa-/datandivhiswa,Datara leyitsongo / switiviwatsongo
Meerstadiumsteekproefneming,                Social conditions / Personal services                    ,"Sampling method where selection of the sample is carried out in several stages, i.e. primary units are regarded as a population from which subsamples of secondary units are selected.",Multi-stage sampling,Ukusampula/ukukhetha /ukudzubhula okungabagaba,Uvandlakanyo olunamanqanaba axananazileyo,Ukuhlola okuzigabaningi,Tsopolohlopšha ya magatontšhi,Kgetho ka mehato e mengata,Tseosekaokemontsi,Kusampula ngetigabagaba,Tsumbonanguludzwatsielisana,Ku sampula hi swiyimonyingi
Nasionale statistieke,                Social conditions / Personal services                    ,"Refer to statistics from other organs of state and agencies that are in the public domain, and have not been designated as official statistics.",National statistics,Iimbalobalo zelizwe ezingakadluliswa,Iinkcukacha-manani zikaZwelonke,Izibalo zikazwelonke,Dipalopalo tša bosetšhaba tša go se be tša semmušo,Dipalopalo tseo eseng tsa semmuso,Dipalopalo tsa bosetšhaba,Imininingwanelubalo yavelonkhe,"Mbalombalo/ zwitatistika zwi si zwa tshiofisi mbalombalo / zwitatisitiki zwa lushaka zwi si zwa tshiofisi
",Tinhlayohlayo ta rixaka
Geenkontakvorm,                Social conditions / Personal services                    ,A form on which the data collector records instances of failure to make contact and the reasons.,Non-contact form,Iforomo lokungakathintani,ifomu yaxa kungafunyanwanga mntu,Ifomu lokungatholakali kobedingeka,Fomo ya ge go se na boikgokaganyo,Foromo ya ho se atlehe kgokahanong,Foromo thetelelo kgolagano / Foromo tlhoka kgolagano,Lifomu letizatfu tekwehluleka kubala,Fomo ya khundelo u kwama vhavhudziswa (u wana data),Fomo yo kala vutihlanganisi
Niesteekproeffout,                Social conditions / Personal services                    ,"Error that arises at any stage of the survey operation except in the sampling stage, e.g. coverage errors, response errors and processing errors. See sampling error.",Non-sampling error,Umtjhapho ongasiwokusampula,Imposiso yokungavandlakanyi,Iphutha elingewona umphumela wokuhlola,Phošo ya tlhokatlhophotsopolo,Phoso eo eseng ya ho sampola,Phoso e e seng ya tseosekao,Liphutsa lelibangelwa kungasampuli,Tshaedzo ya tshayatsumbonanguludzwa,Xihoxo xo kala xi nga ri xa ku sampula
Onbruikbare inligting / Niebruikbare inligting,                Social conditions / Personal services                    ,Information given by the respondents during the interview that cannot be used.,Non-usable information,Ilwazi elingasebenzisekiko,ulwazi olungasebenzisekiyo,Ulwazi olungasebenziseki,Tshedimošo ye e ka se dirišwego / Tshedimošo ye e ka se dirišegego,Tlhahisoleseding e ke keng ya sebediswa / Tsebiso e ke keng ya sebediswa,Tshedimosetsotlhokamosola,Lwatiso / Imininingwane lengenalusito / Lengasebentiseki,Vhuṱanzi vhu sa shumisei / Mafhungo a sa shumisei,Mahungu lama nga tirhisekiki
Amptelike statistieke,                Social conditions / Personal services                    ,Statistics that meet the quality requirements as stipulated by Stats SA and are relevant beyond the organ or agency that collected them.,Official statistics,Iimbalobalo zelizwe ezidlulisiweko,Iinkcukacha-manani ngokwasemthethweni,Izibalo ezisemthethweni,Dipalopalo tša semmušo,Dipalopalo tsa molao,Dipalopalo tsa semmuso,Imininingwanelubalo lesemtsetfweni,Mbalombalo/ zwitatistika zwa tshiofisi,Tinhlayohlayo ta ximfumo
Gedeeltelik voltooi,                Social conditions / Personal services                    ,A questionnaire that has not been fully completed.,Partly complete,-ngakapheleli,okungagcwaliswanga ngokupheleleyo,Okugcwaliswe ngokungaphelele,Go se tlatšwe go felelela,Le sa phethahalang,-sa felelang,Lokungakapheleli kahle,Gake (u ḓadzwa ya sa fhele),Ku nga helelanga
Passiewe metadata,                Social conditions / Personal services                    ,Metadata refer to the data but not connected with them and are entered separately typically using forms.,Passive metadata,Imininingwanahlathululo etjengisako / eqalwako,Uhlalutyo- nkcukacha oluzimeleyo,Incazelo mininingo okuthathelwa kuyo,Tshedimošokakaretšo ya dintlhakgoboketšwa tša go bobama,Tlhakisetso e sa sebetseng ya dintlha,Tlhalosadinewa/dintlha/ e e sa direng,Imethadatha lebindzile,ṱhalutshedzazwidodombedzwa-/datandivhiswa / methadata,Metadatara yo pfumala nghingiriko
Swak statistieke,                Social conditions / Personal services                    ,"Statistics which meet few of the quality requirements as stipulated by Stats SA. They are designated as poor to the extent that very limited deductions can be made, and they are therefore difficult to use.",Poor statistics,Iimbalobalo ezingamukelekiko / ezingazisiko,Iinkcukacha-manani ezinganelisiyo,Izibalo ezingashayi emhlolweni,Dipalopalo tše mpe/dipalopalo tša go fokola,Dipalopalo tse fokolang,Dipalopalo tse di bokoa,Imininingwanelubalo lelungemukeleki,Mbalombalo / zwitatistika zwazwo / methadata,Tinhlayohlayo to tsana
Primêre steekproefeenheid (PSE),                Social conditions / Personal services                    ,Geographical area comprising one or more enumeration areas of the same type (and therefore not necessarily contiguous) that together have at least one hundred dwelling units.,Primary sampling unit (PSU),Okusampulwa / okukhethwa /okudzujulwa kokuthoma,Icandelo lovandlakanyo elisisiseko (iPSU),Isizindangqangi sokuhlola,Yuniti ya tsopolohlopšha ya motheo,Yuniti e kgolo ya kgetho,Lekalakgolo/kalatseosekaokgolo [KTK],Indzawo yekusampula kwekucala (i-PSU),Tshipiḓa tsha tsumbonanguludzwa tsha ndeme (PSU),Yuniti yo sampula ya masungulo (YSM)
Polsing,                Social conditions / Personal services                    ,The technique that is used to obtain a complete and relevant response by asking further questions.,Probing,Ukuphenya,ukuphanda,Ukuphenyisisa,Go botšišiša,Ho fatisisa / Ho nyebokolla,Botsolotsa / Tlhotlhomisa,Kuphenya / Kuhlokolota,U vhudzisesa / U ṱokonya,Nkonaniso
Instaner,                Social conditions / Personal services                    ,A person who answers questions on behalf of another person.,Proxy,Umphenduleli,Ummeli,Ophendulela abanye,Moemalegato,Moemedi,Moemedi,Lomele,Muimeli,Muyimeri
PSE-lystingsboek,                Social conditions / Personal services                    ,A book containing information about listed structures in a PSU.,PSU listing book,Incwadi yokurhenyiswe ku-PSU,incwadi equlethe uluhlu kwi-PSU,Incwadi equkethe ulwazi lwe-PSU,Puku ya lenaneotshedimošo ya PSU,Buka ya lenane la PSU,Buka ya mananeo ya PSU,Libhuku leluhla lwe-PSU,Bugu ya u tevhekanya/khethekanya zwiimiswa ya PSU,Buku yo xaxameta ya PSU
PSE-nommer,                Social conditions / Personal services                    ,It is a unique number given to a primary sampling unit (PSU) for the purpose of record- keeping.,PSU number,Inomboro ye-PSU,inombolo ye-PSU,Inamba ye-PSU,Nomoro ya PSU,Nomoro ya PSU,Nomoro ya PSU,Inombolo ye-PSU,Nomboro ya PSU,Nomboro ya PSU
Publisiteit,                Social conditions / Personal services                    ,"A type of public relations in the form of a news item or story which conveys information about a product, service, or idea in the media.",Publicity,Umkhangisolwazi,"ukwazisa, isaziso",Ukwazisa,Kwalakwatšo,Phatlalatso,Phasalatso,Lusakatolwatiso / Kwatisa,Nyanḓadzo,Vuhangalasi
Gehalteversekering,                Social conditions / Personal services                    ,All actions taken to ensure that standards and procedures are adhered to and that delivered products or services meet performance requirements.,Quality Assurance,Ukuqinisekiswa kwekhwalithi,"ukuqinisekisa izinga lomgangatho, ukuqinisekisa ixabiso",Ukuqinisekiswa kwezingabunjalo,Netefatšo ya boleng,Tiisetso ya boleng,Netefaletsoboleng,Kucinisekisa lizinga / Licophelo lelemukelekile,Khwaṱhisedzo ya Ndeme,Ntiyisiso wa nkoka wa matirhelo
Gehaltebestuur,                Social conditions / Personal services                    ,Systems and frameworks in place within an organisation to manage the quality of statistical products and processes.,Quality management,Amahlelo wokulawula ikhwalithi,"ulawulo olusemgangathweni, ukuphatha ngexabiso",Ukulawulwa kwezingabunjalo,Taolo ya boleng,Tsamaiso ya boleng,Taoloboleng,Kuphatfwa kwekucinisekiswa kwelizinga / Licophelo,Ndangulo ya khwalithi ya tshitatistika/ndeme,Vufambisi bya nkoka
Vraag,                Social conditions / Personal services                    ,A request for information.,Question,Umbuzo,Umbuzo,Umbuzo,Potšišo,Potso,Potso,Umbuto,Mbudziso,Xivutiso
Twyfelagtige statistieke,                Social conditions / Personal services                    ,"Statistics which meet almost none of the quality requirements as stipulated by Stats SA. They are designated as questionable statistics to the extent that no deductions can be made, and they are therefore unusable.",Questionable statistics,Iimbalobalo ezisolekako / ezizazekako,Iinkcukacha-manani ezikrokrisayo,Izibalo ezisolisayo,Dipalopalo tša go belaetša,Dipalopalo tse belaetsang,Dipalopalo tse di belaetsang,Imininingwanelubalo lengabatekako,Mbalombalo- / zwitatistikatshayafulufhelo,Tinhlayohlayo/khwexinere yo kanakanisa
Vraelys,                Social conditions / Personal services                    ,"A group or sequence of questions designed to elicit information upon a subject, or a sequence of subjects, from an informant.",Questionnaire,Irhelomibuzo,Uxwebhu lwemibuzo,Uhlamibuzo; inhlolomibuzo,Lenaneopotšološišo,Lenane la dipotso,Lenaneopotsolotso,Luhlamibuto,Mbudzisombekanywa,Nongonoko wa swivutiso/khwexinere
Vraelysontwerp,                Social conditions / Personal services                    ,The process of developing a questionnaire.,Questionnaire design,Ukutlanywa kwerhelomibuzo,Uyilo loxwebhu lwemibuzo,Ukumiswa kohlamibuzo/kwenhlolomibuzo,Tlhamo ya lenaneopotšološišo,Moralo wa lenane la dipotso,Modiro wa lenaneopotsolotso,Luhlakasimo lweluhlamibuto,Vhuolambudzisombekanya,Mavumbelo ya nongonoko wa swivutiso/khwexinere
